,NAME OF COMPANY,ADDRESS,LOCALITY,TOWN,REGION,MOBILE,TEL(0),E-MAIL,CONTACT
1,A.M. Manor Ltd.,,,ACCRA,GA,244107114,,,Bernard Adu-Amoako
2,Adom City Estate,P.O. Box WU 620,Welja,ACCRA,GA,501299880,,ammanoritdgh@gmail.com,Bright Adom Asante
3,Adonai Estate Limited,P.O. Box DH 15,Ho,ACCRA,VR,248629946,,adomcityestate@yahoo.com,Bright Adonai
4,Afariwaa Estates Ltd.,P.O. Box 1510,Community 1,ACCRA,GA,541824992,,info@adonaiestateltd.com,Cynthia Opuni
5,Afro-Arab Properties Co. Ltd.,P.O. Box NM 352,Nima,ACCRA,GA,559851280,,cynthia.opuni@gmail.com,Alhaji Salamu Amadu
6,Akosua Investments Ltd. (Green Views),P.O. Box CT 8669,Cantonments,ACCRA,GA,549580486,362000350,chairman@afroarabgroup.com,Xavier Perez
7,Alfyjay Estate & Construction Gh. Ltd.,P.O. Box DC 1318,Dansoman,ACCRA,GA,202731415,,xaviperez@yahoo.com,Alfred Boadu
8,Ambassadors Estates,P.O. Box AT 347,New Achimota,ACCRA,GA,502558866,,alfyjay.estate@gmail.com,Yvonne Kumi
9,Appolonia Development Co. Ltd.,P.O. Box CT 4085,Cantonments,ACCRA,GA,277814544,,ambassadorsestates@gmail.ct,Bright Owusu-Amofah
10,Archielands Market,P.O. Box GP 2270,Accra Central,ACCRA,GA,303943716,,kowusuadjei@gmail.com,Godfred Archer-Larbi
11,Asadtek Properties Ltd.,P.O. Box CO 1817,Tema,ACCRA,GA,200158015,,info@archielands.com,James Asare-Adjei
12,Awet Const. & Decorating Group,P.O. Box OS 239,Osu,ACCRA,GA,243251225,551366533,asadtekgroup@gmail.com,Hon. B.D.K Adu
13,Bazonta Homes & Properties Ltd.,P.O. Box 405,Madina,ACCRA,GA,244318455,302264481,awethouse@yahoo.com,Priscilla Appiah Larbi
14,Belgeo Royal Homes,P.O. Box 349,Winneba,Winneba,CR,595100828,302526766,info@bazontagroup.com,George Justice Okyere
15,Bellevue Properties Ltd.,P.O. Box CT 10434,Cantonments,ACCRA,GA,233927348,302747441,belgeoroyalhomes@gmail.com,Risk Hamish
16,Berock Ventures Ltd.,P.O. Box SR 65,Baatsona,ACCRA,GA,244751927,,bellevueestates@gmail.com,Courage Dogbegah
